"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\BillingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 4, 7, 92
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\EmailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 3, 8, 82
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\IntegrationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 4, 9, 82
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\MyDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 1, 23, 214
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\NotificationSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\PasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 3, 10, 98
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\PlanPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 3, 7, 95
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 9, 12, 127
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\elements\TeamPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 3, 10, 98
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\TemplateStatsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 8, 12, 134
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\TemplatesStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 7, 14, 94
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\BodyComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 6, 13, 131
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\ErrorMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
